NO,SEKTOR EKONOMI,Plafon (Rp juta),Outstanding (Rp juta),Debitur
1,Pertanian,21016937,8734483,1413092
2,Perikanan,764881,207311,7237
3,Pertambangan,106184,53714,2839
4,Industri pengolahan,3563073,1625964,180558
5,"Listrik, Gas dan Air",67655,3359,1804
6,Konstruksi,1995002,674963,10160
7,Perdagangan,72513683,2660741,6264111
8,Penyediaan akomodasi,765511,294851,30470
9,Transportasi,1723620,971021,407237
10,Perantara Keuangan,973818,397550,32595
11,Usaha Persewaan,5118842,2697035,266573
12,Adm. Pemerintahan,194,36,36
13,Jasa Pendidikan,59801,31216,1156
14,Jasa Kesehatan,276729,107092,1877
15,Jasa Kemasyarakatan,2910419,1213957,102368
16,Jasa Perorangan,89537,46430,874
17,Badan Internasional,75,0,1
18,Lainnya,14049970,2550398,1087890
